User name,Event Type,Platform,Item,Price (ETH),Price ($),From,To,Date,Original Creator
itsheyjeli,Sale,Makerplace,Nirvana,0,"2,588.77",,itsheyjeli,46 days ago,Klarens Malluta
itsheyjeli,Sale,Makerplace,INTRINSIC,0,"3,000.00",,itsheyjeli,46 days ago,newk3d
itsheyjeli,Sale,Makerplace,UP CLOSE,0,299.00,,itsheyjeli,24 days ago,newk3d
itsheyjeli,Sale,Makerplace,CyberFace,0,"3,558.40",,itsheyjeli,43 days ago,Klarens Malluta
itsheyjeli,Sale,Makerplace,Sleeping Sickness,0,"1,350.00",,itsheyjeli,40 days ago,Tony Skeor
itsheyjeli,Sale,Makerplace,Xenotoria,0,"1,000.00",,itsheyjeli,27 days ago,Rohan Sharma
itsheyjeli,Sale,Makerplace,Obsession,0,"1,281.03",,itsheyjeli,44 days ago,Rarezo
itsheyjeli,Sale,Makerplace,RULING CLASS,0,"1,800.00",,itsheyjeli,45 days ago,newk3d
itsheyjeli,Sale,Makerplace,INTRINSIC,0,"3,000.00",,itsheyjeli,46 days ago,newk3d
itsheyjeli,Sale,Makerplace,RULING CLASS,0,"1,800.00",,itsheyjeli,45 days ago,newk3d
itsheyjeli,Sale,Makerplace,Xenotoria,0,"1,000.00",,itsheyjeli,27 days ago,Rohan Sharma
itsheyjeli,Sale,Makerplace,Sleeping Sickness,0,"1,350.00",,itsheyjeli,40 days ago,Tony Skeor
itsheyjeli,Sale,Makerplace,UP CLOSE,0,299.00,,itsheyjeli,24 days ago,newk3d
itsheyjeli,Sale,Makerplace,CyberFace,0,"3,558.40",,itsheyjeli,43 days ago,Klarens Malluta
itsheyjeli,Sale,Makerplace,Obsession,0,"1,281.03",,itsheyjeli,44 days ago,Rarezo
itsheyjeli,Sale,Makerplace,Nirvana,0,"2,588.77",,itsheyjeli,46 days ago,Klarens Malluta
